"Table S2. Structure and description of the epibenthic invertebrate dataset collected during the 2022 European Union Flemish Cap bottom-trawl survey. Trawl identifies the sampling haul; Lowest_Taxon indicates the lowest taxonomic level to which the organism was identified; Number represents the number of individuals recorded; and Weight represents the total wet weight (kg). For colonial taxa, abundance was recorded as one colony per record (number = 1), and Weight corresponds to the wet weight of the entire colony.",,,
Trawl,Lowest_Taxon,Weight,Number
26,Hormathiidae,44,1
26,Heteropolypus,11,2
26,Halipteris finmarc,58,3
26,Flabellum,3,1
26,Atollidae,13870,156
26,Periphyllidae,2920,5
27,Pasiphaea,340,19
27,Acanthephyra pelag,1717,249
27,Parapasiphae sulca,9,2
27,Northern shrimp,471,36
27,Acanthephyra purpu,255,38
27,Acanthephyra,728,115
27,Gnathophausia zoea,1,1
27,Pontophilus norveg,2,1
27,Pterasteridae,110,1
27,Phormosoma placent,128,16
27,Hormathiidae,33,2
27,Halipteris finmarc,8,1
27,Flabellum,32,6
27,Stauropathes arcti,6,1
27,Atollidae,1800,22
27,Periphyllidae,2320,4
27,Sponges,160,NA
28,Gonatus fabricii,15,1
28,Pasiphaea,610,91
28,Acanthephyra pelag,86,13
28,Myctophum punctatu,6,1
28,Acanthephyra purpu,78,12
28,Acanthephyra,20,3
28,Gnathophausia zoea,3,2
28,Pontophilus norveg,2,1
28,Sergestes arcticus,2,1
28,Sergia robusta,3,1
28,Northern shrimp,2188,174
28,Brittle star,3,1
28,Phormosoma placent,4,1
28,Hormathiidae,45,2
28,Heteropolypus,302,158
28,Radicipes,2,1
28,Funiculina quadran,6,2
28,Flabellum,6,3
28,Atollidae,5640,64
28,Periphyllidae,7950,12
28,Sponges,15,NA
29,Northern shrimp,1740,107
29,Gonatus fabricii,13,2
29,Acanthephyra pelag,4,1
29,Myctophum punctatu,37,3
29,Sergestes arcticus,100,66
29,Sergia robusta,2,1
29,Buccinum,6,1
29,Brittle star,1,1
29,Phormosoma placent,2,1
29,Sea anemones,490,2
29,Hormathiidae,439,2
29,Heteropolypus,4,4
29,Halipteris finmarc,16,1
29,Atollidae,480,3
29,Sabellidae,2,2
29,Pycnogonida,1,2
29,Sponges,2,NA
30,Northern shrimp,4600,269
30,Gonatus fabricii,40,1
30,Myctophum punctatu,685,85
30,Neptunea despecta,3,1
30,Echinasteridae,7,2
30,Leptychaster artic,1,1
30,Ophiopholis,2,2
30,Sea anemones,409,3
30,Hormathiidae,110,15
30,Anthoptilum,51,2
30,Periphyllidae,6870,13
30,Polynoidae,1,1
30,Ascidia,13,1
30,Sponges,1110,NA
31,Northern shrimp,4400,320
31,Gonatus fabricii,78,6
31,Myctophum punctatu,19,3
31,Pasiphaea,43,5
31,Lebbeus polaris,3,1
31,Snow crab,343,1
31,Sergestes arcticus,12,8
31,Sergia robusta,12,4
31,Crustacean,5,1
31,Euphausiacea,1,1
31,Psilaster andromed,20,2
31,Pterasteridae,8,1
31,Echinasteridae,3,2
31,Poraniidae,3,1
31,Asteronyx loveni,2,1
31,Ophiopholis,8,5
31,Homophiura,2,1
31,Brittle star,2,1
31,Brisaster fragilis,8,2
31,Phormosoma placent,19,1
31,Sea anemones,2,1
31,Hormathiidae,99,1
31,Heteropolypus,14,2
31,Duva florida,2527,136
31,Nephtheidae,4,1
31,Radicipes,10,7
31,Isididae,318,NA
31,Anthoptilum,48,4
31,Funiculina quadran,2,1
31,Halipteris finmarc,68,1
31,Flabellum,35,4
31,Stauropathes arcti,92,1
31,Atollidae,890,9
31,Periphyllidae,4190,5
31,Polychaetes,2,2
31,Didemnidae,7,1
31,Terebratulina sept,16,8
31,Polymastiidae,380,2
31,Sponges,2587,NA
32,Northern shrimp,1180,121
32,Myctophum punctatu,404,52
32,Brittle star,2,1
32,Hormathiidae,195,18
32,Duva florida,342,15
32,Anthoptilum,35,1
32,Periphyllidae,12460,11
32,Ascidia,9,1
32,Sponges,129,NA
33,Northern shrimp,254,31
33,Pandalus (sobrecop,5,1
33,Gonatus fabricii,4,1
33,Leptychaster artic,2,1
33,Hormathiidae,108,6
33,Heteropolypus,1,1
33,Duva florida,38,1
33,Anthoptilum,7,1
33,Periphyllidae,11740,10
34,Pandalus (sobrecop,2,1
34,Leptychaster artic,2,1
34,Sea anemones,530,1
34,Hormathiidae,84,3
34,Duva florida,19,1
34,Anthoptilum,69,1
34,Periphyllidae,2010,3
35,Northern shrimp,615,78
35,Ceramaster,19,2
35,Hormathiidae,14,1
35,Anthoptilum,49,1
35,Periphyllidae,15750,22
35,Sponges,49,3
36,Pandalus (sobrecop,22,4
